format,bits,kappa,SQNR_dB,SQNR_dB_std,MSE,MSE_std,MaxAE,MaxAE_std,EffBits,EffBits_std
HAD+INT8(C),8,10.0,40.9979,0.1489,0.0001,0.0,0.0418,0.0093,6.8096,0.0247
MXINT8,8,10.0,41.2835,0.1467,0.0001,0.0,0.0609,0.0012,6.857,0.0244
MXFP8,8,10.0,30.3255,0.2492,0.001,0.0001,0.2976,0.0966,5.037,0.0414
FP16,8,15.0,73.9102,0.1429,0.0,0.0,0.001,0.0001,12.2762,0.0237
SQ-Format-INT,8,15.0,40.335,0.1561,0.0001,0.0,0.0614,0.0009,6.6995,0.0259
SQ-Format-FP,8,15.0,29.8655,0.1305,0.0011,0.0,1.0,0.0,4.9605,0.0217
INT8(T),8,15.0,29.0772,0.0593,0.0013,0.0,0.0625,0.0,4.8296,0.0099
INT8(C),8,15.0,40.389,0.1226,0.0001,0.0,0.0615,0.001,6.7085,0.0204
HAD+INT8(T),8,15.0,35.1137,0.0499,0.0003,0.0,0.067,0.0041,5.8323,0.0083
HAD+INT8(C),8,15.0,40.999,0.1323,0.0001,0.0,0.0465,0.0071,6.8098,0.022
MXINT8,8,15.0,41.4109,0.1467,0.0001,0.0,0.0609,0.0012,6.8782,0.0244
MXFP8,8,15.0,29.4587,0.1995,0.0012,0.0001,1.0,0.0,4.893,0.0331
FP16,8,20.0,74.0826,0.1429,0.0,0.0,0.001,0.0001,12.3049,0.0237
SQ-Format-INT,8,20.0,38.2713,0.1972,0.0002,0.0,0.1235,0.0014,6.3567,0.0328
SQ-Format-FP,8,20.0,31.1424,0.1674,0.0008,0.0,0.2899,0.1031,5.1726,0.0278
INT8(T),8,20.0,23.2531,0.0409,0.0052,0.0,0.125,0.0,3.8623,0.0068
INT8(C),8,20.0,38.4815,0.2485,0.0002,0.0,0.1233,0.0017,6.3916,0.0413
HAD+INT8(T),8,20.0,35.2861,0.0499,0.0003,0.0,0.067,0.0041,5.8609,0.0083
