regime,format,dist_name,bits,mse,snr_db,kl_div,max_ae,eff_bits
4bit,INT4,Gaussian(σ=1),4,0.023709988426819345,16.000702839410227,22.141216237621023,1.2145287990570068,2.657659215009041
4bit,NVFP4,Gaussian(σ=1),4,0.04375806739492169,13.339434930989091,21.18007596360895,1.4645287990570068,2.2156321833587262
4bit,MXFP4,Gaussian(σ=1),4,0.04375806739492169,13.339434930989091,21.18007596360895,1.4645287990570068,2.2156321833587262
4bit,MXINT4,Gaussian(σ=1),4,0.033505527777126426,14.4988516262673,20.35753180818674,1.2145287990570068,2.4082071280450332
4bit,NF4,Gaussian(σ=1),4,0.008887112365288892,20.262409546757603,21.83714478641127,0.3978703022003174,3.3655133771743997
4bit,SQ-Format,Gaussian(σ=1),4,0.018892355774116604,16.987155104732775,22.049259793714818,0.9801537990570068,2.821505389731054
4bit,SmoothQuant+INT4,Gaussian(σ=1),4,0.014656919727152525,18.089589166152123,22.431406025477827,0.21167302131652832,3.0046157238005398
4bit,HAD+INT4,Gaussian(σ=1),4,0.011538372715266117,19.128570624013896,7.552865992919594,0.3423417806625366,3.177186808547442
4bit,HAD+LUT4,Gaussian(σ=1),4,0.019839397715091883,16.774731422379233,2.639509709277742,0.4597123861312866,2.786222579809571
4bit,HAD+SQ,Gaussian(σ=1),4,0.05201605783886595,12.588641908711676,2.977945795022403,0.8356225490570068,2.090928161651289
4bit,RandRot+INT4,Gaussian(σ=1),4,0.020664124174416335,16.597846230077003,2.5258933817970357,0.45142102241516113,2.756842585315655
4bit,FP32,Gaussian(σ=1),32,0.0,inf,0.0,0.0,inf
4bit,INT4,Student-t(ν=3),4,0.08198440354121181,13.909181583264633,22.736009421086884,2.8093037605285645,2.3102650539168335
4bit,NVFP4,Student-t(ν=3),4,0.03031861781877729,18.229400011675633,22.840907890738013,0.7472295761108398,3.027837802586265
4bit,MXFP4,Student-t(ν=3),4,0.10259694721921028,12.935149612325525,19.6845028577389,2.9029898643493652,2.1484818454377765
4bit,MXINT4,Student-t(ν=3),4,0.09772771883385054,13.14631638170464,20.760490969358095,2.8093037605285645,2.1835558866331306
4bit,NF4,Student-t(ν=3),4,0.03166364436986614,18.04088500619336,23.033332772933246,0.8602786064147949,2.996526137935294
4bit,SQ-Format,Student-t(ν=3),4,0.06130201206346306,15.171746705034373,22.691985313434845,2.3405537605285645,2.5199725813984224
4bit,SmoothQuant+INT4,Student-t(ν=3),4,0.06765130463619118,14.74373223471674,23.20999429275944,0.4505878686904907,2.448880916700099
4bit,HAD+INT4,Student-t(ν=3),4,0.04920410641217507,16.126480506691365,2.680444085358653,0.6951746940612793,2.678550433341572
4bit,HAD+LUT4,Student-t(ν=3),4,0.0455102061483568,16.465405969898125,1.5752363560816969,0.656043291091919,2.734844734256534
4bit,HAD+SQ,Student-t(ν=3),4,0.03923344855181418,17.109929161956813,2.0677772648776678,0.6365809440612793,2.8418977192318464
4bit,RandRot+INT4,Student-t(ν=3),4,0.024757928524073502,19.109350949329293,2.0080579377956003,0.5034400522708893,3.1739944896819736
4bit,FP32,Student-t(ν=3),32,0.0,inf,0.0,0.0,inf
4bit,INT4,Bimodal,4,0.03080503076831026,24.803478989522407,23.169037436016232,0.7988367080688477,4.1197686853121445
4bit,NVFP4,Bimodal,4,0.14636690628299637,18.03526652492639,23.840680327447945,1.2988367080688477,2.9955929283967273
4bit,MXFP4,Bimodal,4,0.14636690628299637,18.03526652492639,23.840680327447945,1.2988367080688477,2.9955929283967273
4bit,MXINT4,Bimodal,4,0.03080503076831026,24.803478989522407,23.169037436016232,0.7988367080688477,4.1197686853121445
4bit,NF4,Bimodal,4,0.08068112068393013,20.6219762380101,23.47896899878785,0.6508922576904297,3.425236111857267
4bit,SQ-Format,Bimodal,4,0.02631368661582617,25.48787847725559,23.07561190390426,0.5384902954101562,4.233444979633513
4bit,SmoothQuant+INT4,Bimodal,4,0.03107930894944405,24.764981921898933,23.017190306016758,0.306485652923584,4.113374460786685
4bit,HAD+INT4,Bimodal,4,0.16751046943295894,17.449275901582215,16.727199107390753,1.3904249668121338,2.8982619926453483
4bit,HAD+LUT4,Bimodal,4,0.22541102194204157,16.159943978949187,1.3732194826608506,1.7148008346557617,2.6841085957738584
4bit,HAD+SQ,Bimodal,4,0.2785429266457455,15.240774114521038,8.297857573202391,1.736726999282837,2.531437785942975
4bit,RandRot+INT4,Bimodal,4,0.11633953132667188,19.032422359463542,1.0078887168355375,1.1714110970497131,3.161216927483218
4bit,FP32,Bimodal,32,0.0,inf,0.0,0.0,inf
4bit,INT4,ChannelOutlier(σ=50),4,1.218957733800739,8.744848861384128,23.22988744802418,11.540306091308594,1.4524879559087847
4bit,NVFP4,ChannelOutlier(σ=50),4,1.1775747299847303,8.894850558638717,22.678401632263334,15.540306091308594,1.4774026985283253
4bit,MXFP4,ChannelOutlier(σ=50),4,1.0102841333476995,9.560300008822791,3.757368716159346,15.540306091308594,1.5879314597430163
4bit,MXINT4,ChannelOutlier(σ=50),4,0.5951281037317991,11.858630738346074,1.0879384078721526,11.540306091308594,1.9696759308303344
4bit,NF4,ChannelOutlier(σ=50),4,0.8043705881668792,10.550173510449381,22.910241420607104,5.121692657470703,1.7523458895149115
4bit,SQ-Format,ChannelOutlier(σ=50),4,0.16124536730184866,17.529862873838006,1.3932618154311556,7.790306091308594,2.9116471990062696
4bit,SmoothQuant+INT4,ChannelOutlier(σ=50),4,0.9263013294596085,9.937212459038069,23.180715794896674,2.7435481548309326,1.6505352626271648
4bit,HAD+INT4,ChannelOutlier(σ=50),4,0.13995045699897632,18.14499212305597,0.4667412471959941,2.0226778090000153,3.013817955754476
4bit,HAD+LUT4,ChannelOutlier(σ=50),4,0.1250410143636066,18.63421045140474,0.25872979038744326,1.071377505082637,3.0950753612282567
4bit,HAD+SQ,ChannelOutlier(σ=50),4,0.11587074809595763,18.964997223620948,0.46600952271445195,1.8468965590000153,3.1500178548303626
4bit,RandRot+INT4,ChannelOutlier(σ=50),4,0.10563421451518551,19.366689259768812,0.15387513004524928,1.2122421264648438,3.2167374578489674
4bit,FP32,ChannelOutlier(σ=50),32,0.0,inf,0.0,0.0,inf
4bit,INT4,Spiky(10×),4,0.10220638122780254,10.47284388874135,23.832148131910817,3.0,1.7395017173689655
4bit,NVFP4,Spiky(10×),4,0.05389633461970841,13.252031698729322,22.26494551409881,4.0,2.2011148207173417
4bit,MXFP4,Spiky(10×),4,0.07154609955330268,12.021764380747921,18.51486766071081,4.0,1.996771842326135
4bit,MXINT4,Spiky(10×),4,0.052485367203985854,13.36724160569226,16.37856345946257,3.0,2.2202507720548192
4bit,NF4,Spiky(10×),4,0.06510314190255295,12.431604522860605,23.609812246918,0.4858816862106323,2.064844816450972
4bit,SQ-Format,Spiky(10×),4,0.021177493909704553,17.30887835060628,20.761367227852446,2.0625,2.874942464193332
4bit,SmoothQuant+INT4,Spiky(10×),4,0.16403723715698265,8.418199546271406,24.353225346356822,0.713076114654541,1.3982326790563515
4bit,HAD+INT4,Spiky(10×),4,0.012331553259180866,19.657446176233293,1.1051955373918783,0.332323944196105,3.2650311363282767
4bit,HAD+LUT4,Spiky(10×),4,0.020155308983612806,17.523729402447344,0.9787151719198268,0.41554123908281326,2.9106284514596776
4bit,HAD+SQ,Spiky(10×),4,0.010441955188019852,20.3798057548776,0.6873133404496965,0.305956756696105,3.385012465273753
4bit,RandRot+INT4,Spiky(10×),4,0.019343933498508558,17.702176100968764,0.7065152328239237,0.44279761612415314,2.940267806522588
4bit,FP32,Spiky(10×),32,0.0,inf,0.0,0.0,inf
4bit,INT4,Spiky(50×),4,1.7773293752260322,5.152158131382638,23.982309550087873,22.0,0.8557549422971179
4bit,NVFP4,Spiky(50×),4,0.839829375226032,8.407926708374902,23.982309550087873,2.0,1.3965263976152202
4bit,MXFP4,Spiky(50×),4,0.1070486271026999,17.354026301440744,6.002423981004738,2.0,2.8824413765085115
4bit,MXINT4,Spiky(50×),4,1.0366194009919814,7.493643993116967,3.1395457801608244,22.0,1.2446673256909588
4bit,NF4,Spiky(50×),4,0.8570317951428088,8.31986797814973,24.29475202647048,2.261212110519409,1.3819001591184652
4bit,SQ-Format,Spiky(50×),4,0.6634378650350078,9.431834771864567,4.191778779770839,18.25,1.566593845749622
4bit,SmoothQuant+INT4,Spiky(50×),4,0.9443154159970395,7.898666523654963,24.27462455055472,2.964528799057007,1.311940111853786
4bit,HAD+INT4,Spiky(50×),4,0.3038279090693209,12.82356067142614,1.5746730153487072,6.140625,2.129947323545157
4bit,HAD+LUT4,Spiky(50×),4,0.06310673100812073,19.64908048120716,0.12693352530250626,0.8112845122814178,3.2636416244612483
4bit,HAD+SQ,Spiky(50×),4,0.28821338967644894,13.052695788020497,1.5686588164382256,6.052734375,2.1680058426121613
4bit,RandRot+INT4,Spiky(50×),4,0.08951464391665559,18.13089643578489,0.0840114754932153,0.9282152652740479,3.011476712776348
4bit,FP32,Spiky(50×),32,0.0,inf,0.0,0.0,inf
4bit,INT4,Spiky(100×),4,4.72556541599704,6.361162457285044,22.3833649637191,44.0,1.0565662141498957
4bit,NVFP4,Spiky(100×),4,0.9755654159970395,13.213136291278907,22.3833649637191,4.0,2.1946544333787603
4bit,MXFP4,Spiky(100×),4,0.14216796692642272,21.577682723765594,3.104930599190543,4.0,3.5839755231321297
4bit,MXINT4,Spiky(100×),4,3.884238740815705,7.2126410968151236,1.545388884246165,44.0,1.197993754892468
4bit,NF4,Spiky(100×),4,0.9443154159970395,13.354529455865947,22.338392598623614,2.964528799057007,2.2181393296720966
4bit,SQ-Format,Spiky(100×),4,2.6149759509725086,8.931023260442302,1.1195740257232352,36.5,1.4834108542477906
4bit,SmoothQuant+INT4,Spiky(100×),4,0.9443154159970395,13.354529455865947,22.338392598623614,2.964528799057007,2.2181393296720966
4bit,HAD+INT4,Spiky(100×),4,0.2068462562182779,19.949223603529916,0.4091037671593803,3.875,3.3134943179878067
4bit,HAD+LUT4,Spiky(100×),4,0.1562296016150483,21.168066998937135,0.07848475697809264,1.2181125581264496,3.5159398239113644
4bit,HAD+SQ,Spiky(100×),4,0.18231201113370588,20.49754743295333,0.404397096128095,3.69921875,3.4045689346907
4bit,RandRot+INT4,Spiky(100×),4,0.34494231190948765,17.72823555395471,0.07755101429197286,1.946300208568573,2.9445961879731586
4bit,FP32,Spiky(100×),32,0.0,inf,0.0,0.0,inf
