regime,format,dist_name,bits,mse,snr_db,kl_div,max_ae,eff_bits
8bit,INT8,Gaussian(σ=1),8,0.008722870783205746,20.343421868590916,1.7481227686653393,0.9801537990570068,3.378969232570906
8bit,MXFP8,Gaussian(σ=1),8,0.02967669747065501,15.025860564857974,11.505817803981103,1.2145287990570068,2.4957414180130897
8bit,MXINT8,Gaussian(σ=1),8,0.01994614849801088,16.75142577918445,2.049442267133614,0.9801537990570068,2.7823515962646623
8bit,FP6,Gaussian(σ=1),6,0.002215542287542299,26.295215822090945,15.81450443715689,0.21013259887695312,4.36754081002653
8bit,SmoothQuant+INT8,Gaussian(σ=1),8,4.719333575361611e-05,43.011209503882746,0.9573656551020544,0.011592268943786621,7.144007262301721
8bit,HAD+INT8,Gaussian(σ=1),8,7.711908556049114e-05,40.87839754655227,0.5682612663041615,0.02485179901123047,6.7897548641933305
8bit,RandRot+INT8,Gaussian(σ=1),8,0.014799462636844087,18.04755679328905,2.2444678933474305,0.3942496180534363,2.9976342977851087
8bit,FP32,Gaussian(σ=1),32,0.0,inf,0.0,0.0,inf
8bit,INT8,Student-t(ν=3),8,0.03726427401610841,17.333567350234024,0.7292183174818541,2.3405537605285645,2.879043218268235
8bit,MXFP8,Student-t(ν=3),8,0.08333599289559832,13.83816785601985,7.598004372191701,2.8093037605285645,2.298469929133978
8bit,MXINT8,Student-t(ν=3),8,0.08703211937662877,13.649698402888774,1.4384640451749862,2.3405537605285645,2.267165830564769
8bit,FP6,Student-t(ν=3),6,0.005367220047577746,25.748999986892528,11.892892300949317,0.4063138961791992,4.276816323585631
8bit,SmoothQuant+INT8,Student-t(ν=3),8,0.00019842882349267716,40.07044642323854,1.2425638204684053,0.024800777435302734,6.655557087401747
8bit,HAD+INT8,Student-t(ν=3),8,0.019299340967469967,20.191069207280457,1.9012424266653762,0.41018471121788025,3.3536640032740026
8bit,RandRot+INT8,Student-t(ν=3),8,0.001457219788833247,31.41124339465822,0.8125741182397238,0.1567479968070984,5.217294596403011
8bit,FP32,Student-t(ν=3),32,0.0,inf,0.0,0.0,inf
8bit,INT8,Bimodal,8,0.0005513515095613708,42.27540977879186,0.8848670394194662,0.33008670806884766,7.02179357335223
8bit,MXFP8,Bimodal,8,0.017073808168565463,27.366391482272494,21.60694167516906,0.7988367080688477,4.54545923603236
8bit,MXINT8,Bimodal,8,0.6119402339206814,11.822605376770554,3.4739965460442015,1.9842405319213867,1.9636922477930245
8bit,FP6,Bimodal,6,0.027672084798168795,25.269276660009552,22.780815459764487,0.306485652923584,4.197136003718362
8bit,SmoothQuant+INT8,Bimodal,8,9.37412094901835e-05,49.97038993180523,1.1932624609300906,0.016881704330444336,8.299902111347018
8bit,HAD+INT8,Bimodal,8,0.15796483805184341,17.704091192808605,1.1106251877418547,1.0655326843261719,2.940585896391941
8bit,RandRot+INT8,Bimodal,8,0.008834525467241922,30.22786318840232,1.135894216461344,0.4565732479095459,5.020739398698257
8bit,FP32,Bimodal,32,0.0,inf,0.0,0.0,inf
8bit,INT8,ChannelOutlier(σ=50),8,0.14330568099230243,18.042101260220083,0.2270936017553014,7.790306091308594,2.996728153356389
8bit,MXFP8,ChannelOutlier(σ=50),8,0.44123056280536566,13.158079460975195,0.4583594777337532,11.540306091308594,2.1855096918086927
8bit,MXINT8,ChannelOutlier(σ=50),8,0.15782695764359653,17.622923483640275,0.4274789598927192,7.790306091308594,2.927104231717745
8bit,FP6,ChannelOutlier(σ=50),6,0.0037419062795574364,33.873806273857895,0.5272699453606967,0.5269203186035156,5.626317437095017
8bit,SmoothQuant+INT8,ChannelOutlier(σ=50),8,0.008534394431300116,30.29300822637705,0.8155241360750456,0.15542933344841003,5.031559755292796
8bit,HAD+INT8,ChannelOutlier(σ=50),8,0.02856422156664381,25.04651140123528,0.42057801090968394,0.7531465590000153,4.160135495134005
8bit,RandRot+INT8,ChannelOutlier(σ=50),8,0.004599923925972913,32.97722883937033,0.006430175300407482,0.3252256065607071,5.477399148651704
8bit,FP32,ChannelOutlier(σ=50),32,0.0,inf,0.0,0.0,inf
8bit,INT8,Spiky(10×),8,0.008645876482547082,21.199533737906453,5.167520378806769,2.0625,3.5211663361231977
8bit,MXFP8,Spiky(10×),8,0.045350900194652335,14.00176488549235,6.436164875038731,3.0,2.325642807556218
8bit,MXINT8,Spiky(10×),8,0.02750939647450021,16.17281338020704,1.0494507570880238,2.0625,2.686246157054001
8bit,FP6,Spiky(10×),6,0.002479770135371302,26.623509752221533,11.54945892696903,0.1756829023361206,4.422069251520619
8bit,SmoothQuant+INT8,Spiky(10×),8,0.0005111991034490442,33.48172317101104,8.87778380224893,0.03935432434082031,5.5611938433511385
8bit,HAD+INT8,Spiky(10×),8,0.0002162490827307958,37.21808126595115,0.17034129890450891,0.03515493869781494,6.1817894897582075
8bit,RandRot+INT8,Spiky(10×),8,0.030596544195568624,15.710900238202544,0.8060891589370107,1.032414436340332,2.6095240448628796
8bit,FP32,Spiky(10×),32,0.0,inf,0.0,0.0,inf
8bit,INT8,Spiky(50×),8,0.6559884681490763,9.480875271609294,3.35443771160326,18.25,1.5747392964440883
8bit,MXFP8,Spiky(50×),8,0.9730852751946524,7.768328311618308,0.7434199520062115,22.0,1.2902914034336885
8bit,MXINT8,Spiky(50×),8,0.6701197849477586,9.388312915388115,0.7124398359413717,18.25,1.5593650218610828
8bit,FP6,Spiky(50×),6,0.003124954410498729,32.70140046121112,0.8003065466715754,0.21993279457092285,5.431585046712989
8bit,SmoothQuant+INT8,Spiky(50×),8,0.012462477631052606,26.693793401853306,12.048334484918083,0.19677609205245972,4.43374311303677
8bit,HAD+INT8,Spiky(50×),8,0.15640638654797803,15.707292493398379,0.9802101428163834,3.5986328125,2.608924811421672
8bit,RandRot+INT8,Spiky(50×),8,0.0020403062792877396,34.552883658276116,0.05036139903799152,0.1763153374195099,5.739109749190092
8bit,FP32,Spiky(50×),32,0.0,inf,0.0,0.0,inf
8bit,INT8,Spiky(100×),8,2.6227415084293866,8.918145356089095,4.513279633102822,36.5,1.481271880634081
8bit,MXFP8,Spiky(100×),8,3.809022775194653,7.297564557752141,0.4190938724166573,44.0,1.2120992364325553
8bit,MXINT8,Spiky(100×),8,2.6221402533709024,8.91914107636314,0.38307172900823505,36.5,1.4814372661917312
8bit,FP6,Spiky(100×),6,0.005055379080039478,36.06816298280733,0.036762118611043386,0.21993279457092285,5.990792197178202
8bit,SmoothQuant+INT8,Spiky(100×),8,0.054465945500105445,25.744449780527564,13.651180295013152,0.39366039633750916,4.276060550667565
8bit,HAD+INT8,Spiky(100×),8,0.04140200977944128,26.935486016027916,0.24203279778487424,1.14453125,4.47388738730444
8bit,RandRot+INT8,Spiky(100×),8,1.6204345733784509,11.009385245498432,0.1267508270564713,21.98920440673828,1.8286193077229824
8bit,FP32,Spiky(100×),32,0.0,inf,0.0,0.0,inf
