format,dist_name,bits,mse,snr_db,kl_div,max_ae,eff_bits,enc_data_bits_per_element,enc_metadata_bits_per_element,dist_type,dist_sigma,enc_bandwidth_amplification,enc_dense_bits,enc_sparse_bits,enc_sparsity_ratio,dist_b,dist_nu,dist_mu1,dist_mu2,dist_outlier_ratio,dist_outlier_sigma,dist_n_outlier_channels,dist_spike_ratio,dist_spike_multiplier,dist_n_spikes,dist_mu
MXFP4,Laplace(b=0.5),4,0.010943886788695359,15.812970973318137,19.750135494551806,0.7613496780395508,2.626477626995194,4.0,0.25,laplace,,1.0625,,,,0.5,,,,,,,,,,
MXFP8,Laplace(b=0.5),8,0.021184260223747933,12.944553864919916,8.379401838269734,1.4126193523406982,2.150043857983013,8.0,0.25,laplace,,1.03125,,,,0.5,,,,,,,,,,
NVFP4,Laplace(b=0.5),4,0.007384919604405418,17.5212291733544,22.61976013091695,0.43619227409362793,2.9102131723963023,4.0,0.0,laplace,,,,,,0.5,,,,,,,,,,
NF4,Laplace(b=0.5),4,0.006935710798593678,17.79377713205583,22.42269384448867,0.2773704528808594,2.9554824084570264,4.0,0.0,laplace,,1.0,,,,0.5,,,,,,,,,,
FP6,Laplace(b=0.5),6,0.0010471110774486897,26.00475935039784,12.415737607597524,0.167388916015625,4.319297034343571,6.0,0.0,laplace,,1.0,,,,0.5,,,,,,,,,,
SQ-Format,Laplace(b=0.5),4,0.008738377902077168,16.79037866694324,22.47399800916665,1.1782443523406982,2.788821530875808,5.04,1.0,laplace,,1.26,4.0,8.0,0.01,0.5,,,,,,,,,,
HAD+INT4(C),Laplace(b=0.5),4,0.008156917395194377,17.089426248368127,2.056130246385359,0.28942787647247314,2.838492258997981,4.0,0.0,laplace,,1.0,,,,0.5,,,,,,,,,,
HAD+INT8(C),Laplace(b=0.5),8,0.002358338614287872,22.478625271019087,2.1440562183483802,0.13898015022277832,3.733618841112168,8.0,0.0,laplace,,1.0,,,,0.5,,,,,,,,,,
HAD+INT4(T),Laplace(b=0.5),4,0.008156917395194377,17.089426248368127,2.056130246385359,0.28942787647247314,2.838492258997981,4.0,0.0,laplace,,1.0,,,,0.5,,,,,,,,,,
HAD+INT8(T),Laplace(b=0.5),8,0.002358338614287872,22.478625271019087,2.1440562183483802,0.13898015022277832,3.733618841112168,8.0,0.0,laplace,,1.0,,,,0.5,,,,,,,,,,
HAD+SQ,Laplace(b=0.5),4,0.0062142392963936005,18.27080716136114,1.8984386561088809,0.24548256397247314,3.0347153812797396,5.04,1.0,laplace,,1.26,4.0,8.0,0.01,0.5,,,,,,,,,,
HAD+LUT4,Laplace(b=0.5),4,0.008408415148917533,16.957545430986244,1.8263004577848563,0.28357111662626266,2.8165873293761012,4.0,0.0,laplace,,1.0,,,,0.5,,,,,,,,,,
RandRot+INT4,Laplace(b=0.5),4,0.004703611891274219,19.480372094388578,1.6742264719886777,0.21434292197227478,3.2356197679604595,4.0,0.0,laplace,,1.0,,,,0.5,,,,,,,,,,
RandRot+INT8,Laplace(b=0.5),8,3.2744373249712384e-05,41.05332006938675,0.2954501480915187,0.017128318548202515,6.818808866344953,8.0,0.0,laplace,,1.0,,,,0.5,,,,,,,,,,
SmoothQuant+INT4,Laplace(b=0.5),4,0.016962484259480583,13.909792314220786,22.87821800212962,0.22567999362945557,2.3103664941329165,4.0,0.0,laplace,,1.0,,,,0.5,,,,,,,,,,
SmoothQuant+INT8,Laplace(b=0.5),8,4.96030767004678e-05,39.24960074031248,3.0043552366248134,0.01242905855178833,6.519217570617792,8.0,0.0,laplace,,1.0,,,,0.5,,,,,,,,,,
