layer,format,transform,qsnr_w_db,qsnr_x_db,qsnr_y_db,reason,W_std,W_max_abs,W_crest,W_crest_rms,W_kurtosis,W_n,X_std,X_max_abs,X_crest,X_crest_rms,X_kurtosis,X_n,Y_std,Y_max_abs,Y_crest,Y_crest_rms,Y_kurtosis,Y_n
embed,INT4,base,20.421519556793314,19.287530682940435,17.976600904084393,,0.11211745057736629,0.3149096965789795,2.8087482809973197,2.808542504308916,-0.9376479733878504,3584,0.30709315108696966,1.0,3.256340939094396,3.001203573761757,2.9936282207623988,200704,0.19546154788103992,1.5251336097717285,7.8027296228102205,7.798502679654167,1.605934724742605,917504
embed,INT4,smooth,10.88796262724707,25.127665128438377,21.18946217123536,,0.11211745057736629,0.3149096965789795,2.8087482809973197,2.808542504308916,-0.9376479733878504,3584,0.30709315108696966,1.0,3.256340939094396,3.001203573761757,2.9936282207623988,200704,0.19546154788103992,1.5251336097717285,7.8027296228102205,7.798502679654167,1.605934724742605,917504
embed,INT4,had,,,,HAD requires power-of-2 in_features,0.11211745057736629,0.3149096965789795,2.8087482809973197,2.808542504308916,-0.9376479733878504,3584,0.30709315108696966,1.0,3.256340939094396,3.001203573761757,2.9936282207623988,200704,0.19546154788103992,1.5251336097717285,7.8027296228102205,7.798502679654167,1.605934724742605,917504
embed,FP4,base,18.981028696509203,13.108451376319806,13.54403267430271,,0.11211745057736629,0.3149096965789795,2.8087482809973197,2.808542504308916,-0.9376479733878504,3584,0.30709315108696966,1.0,3.256340939094396,3.001203573761757,2.9936282207623988,200704,0.19546154788103992,1.5251336097717285,7.8027296228102205,7.798502679654167,1.605934724742605,917504
embed,FP4,smooth,10.677101105107258,16.304534215802075,15.11021606968213,,0.11211745057736629,0.3149096965789795,2.8087482809973197,2.808542504308916,-0.9376479733878504,3584,0.30709315108696966,1.0,3.256340939094396,3.001203573761757,2.9936282207623988,200704,0.19546154788103992,1.5251336097717285,7.8027296228102205,7.798502679654167,1.605934724742605,917504
embed,FP4,had,,,,HAD requires power-of-2 in_features,0.11211745057736629,0.3149096965789795,2.8087482809973197,2.808542504308916,-0.9376479733878504,3584,0.30709315108696966,1.0,3.256340939094396,3.001203573761757,2.9936282207623988,200704,0.19546154788103992,1.5251336097717285,7.8027296228102205,7.798502679654167,1.605934724742605,917504
embed,NF4,base,21.391572539536853,24.98852074950054,20.000179993308507,,0.11211745057736629,0.3149096965789795,2.8087482809973197,2.808542504308916,-0.9376479733878504,3584,0.30709315108696966,1.0,3.256340939094396,3.001203573761757,2.9936282207623988,200704,0.19546154788103992,1.5251336097717285,7.8027296228102205,7.798502679654167,1.605934724742605,917504
embed,NF4,smooth,10.864280473030464,23.152475879965454,19.15934931040817,,0.11211745057736629,0.3149096965789795,2.8087482809973197,2.808542504308916,-0.9376479733878504,3584,0.30709315108696966,1.0,3.256340939094396,3.001203573761757,2.9936282207623988,200704,0.19546154788103992,1.5251336097717285,7.8027296228102205,7.798502679654167,1.605934724742605,917504
embed,NF4,had,,,,HAD requires power-of-2 in_features,0.11211745057736629,0.3149096965789795,2.8087482809973197,2.808542504308916,-0.9376479733878504,3584,0.30709315108696966,1.0,3.256340939094396,3.001203573761757,2.9936282207623988,200704,0.19546154788103992,1.5251336097717285,7.8027296228102205,7.798502679654167,1.605934724742605,917504
embed,NVFP4,base,18.969595008760777,23.89772398171507,17.82841628454801,,0.11211745057736629,0.3149096965789795,2.8087482809973197,2.808542504308916,-0.9376479733878504,3584,0.30709315108696966,1.0,3.256340939094396,3.001203573761757,2.9936282207623988,200704,0.19546154788103992,1.5251336097717285,7.8027296228102205,7.798502679654167,1.605934724742605,917504
embed,NVFP4,smooth,10.666766405423305,18.05406454244515,16.17602365054519,,0.11211745057736629,0.3149096965789795,2.8087482809973197,2.808542504308916,-0.9376479733878504,3584,0.30709315108696966,1.0,3.256340939094396,3.001203573761757,2.9936282207623988,200704,0.19546154788103992,1.5251336097717285,7.8027296228102205,7.798502679654167,1.605934724742605,917504
embed,NVFP4,had,,,,HAD requires power-of-2 in_features,0.11211745057736629,0.3149096965789795,2.8087482809973197,2.808542504308916,-0.9376479733878504,3584,0.30709315108696966,1.0,3.256340939094396,3.001203573761757,2.9936282207623988,200704,0.19546154788103992,1.5251336097717285,7.8027296228102205,7.798502679654167,1.605934724742605,917504
embed,MXINT4,base,20.421519556793314,19.287530682940435,17.976600904084393,,0.11211745057736629,0.3149096965789795,2.8087482809973197,2.808542504308916,-0.9376479733878504,3584,0.30709315108696966,1.0,3.256340939094396,3.001203573761757,2.9936282207623988,200704,0.19546154788103992,1.5251336097717285,7.8027296228102205,7.798502679654167,1.605934724742605,917504
embed,MXINT4,smooth,10.88796262724707,25.127665128438377,21.18946217123536,,0.11211745057736629,0.3149096965789795,2.8087482809973197,2.808542504308916,-0.9376479733878504,3584,0.30709315108696966,1.0,3.256340939094396,3.001203573761757,2.9936282207623988,200704,0.19546154788103992,1.5251336097717285,7.8027296228102205,7.798502679654167,1.605934724742605,917504
embed,MXINT4,had,,,,HAD requires power-of-2 in_features,0.11211745057736629,0.3149096965789795,2.8087482809973197,2.808542504308916,-0.9376479733878504,3584,0.30709315108696966,1.0,3.256340939094396,3.001203573761757,2.9936282207623988,200704,0.19546154788103992,1.5251336097717285,7.8027296228102205,7.798502679654167,1.605934724742605,917504
embed,MXFP4,base,18.981028696509203,13.108451376319806,13.54403267430271,,0.11211745057736629,0.3149096965789795,2.8087482809973197,2.808542504308916,-0.9376479733878504,3584,0.30709315108696966,1.0,3.256340939094396,3.001203573761757,2.9936282207623988,200704,0.19546154788103992,1.5251336097717285,7.8027296228102205,7.798502679654167,1.605934724742605,917504
embed,MXFP4,smooth,10.677101105107258,16.304534215802075,15.11021606968213,,0.11211745057736629,0.3149096965789795,2.8087482809973197,2.808542504308916,-0.9376479733878504,3584,0.30709315108696966,1.0,3.256340939094396,3.001203573761757,2.9936282207623988,200704,0.19546154788103992,1.5251336097717285,7.8027296228102205,7.798502679654167,1.605934724742605,917504
