format,layer_name,layer_type,tensor_type,bits,mse,snr_db,eff_bits,max_ae,mean,std,outlier_ratio,n_batches,n_elements
SQ-FORMAT-FP,embed,Linear,input,4,5.464268120016594e-06,42.57879611336216,7.07218495277293,0.12156862765550613,0.1365244546780963,0.31456167318907885,0.0,8,200704
SQ-FORMAT-FP,embed,Linear,weight,4,4.061703118936759e-05,24.906382512316224,4.136860590483727,0.0156162790954113,0.0013572309447949596,0.11211745057736629,0.0,8,3584
SQ-FORMAT-FP,embed,Linear,output,4,3.537358310236134e-05,30.547483292143912,5.073827148813757,0.031249582767486572,-0.006540015653496418,0.20031510137369868,1.52587890625e-05,8,917504
SQ-FORMAT-FP,classifier,Linear,input,4,0.010552806027790908,20.761847136672976,3.448468165253535,0.24996089935302734,0.0005722600549304957,1.1214407537346212,0.000213623046875,8,32768
SQ-FORMAT-FP,classifier,Linear,weight,4,4.0665896629537636e-05,22.607612534785964,3.7550431618816593,0.015606723725795746,0.0006549509339151882,0.08609854314684062,0.0,8,1280
SQ-FORMAT-FP,classifier,Linear,output,4,0.15100893455135375,20.142448581925933,3.3455882922061932,0.9999351501464844,-0.027519705546001205,3.9502424418197974,0.002734375,8,2560
INT4(CHANNEL),embed,Linear,input,4,0.0011567622856954749,19.321674917049883,3.2092607373614226,0.12450981140136719,0.1365244546780963,0.31456167318907885,0.0,8,200704
INT4(CHANNEL),embed,Linear,weight,4,0.00011407604924473226,20.421519556793314,3.3919409778001715,0.031050145626068115,0.0013572309447949596,0.11211745057736629,0.0,8,3584
INT4(CHANNEL),embed,Linear,output,4,0.0008630613345427372,16.673857218247225,2.769467737171795,0.12499797344207764,-0.006540015653496418,0.20031510137369868,1.52587890625e-05,8,917504
INT4(CHANNEL),classifier,Linear,input,4,0.021058299762286185,17.761293655463213,2.950087019781395,0.49945974349975586,0.0005722600549304957,1.1214407537346212,0.000213623046875,8,32768
INT4(CHANNEL),classifier,Linear,weight,4,8.204529765626863e-05,19.559379108915977,3.248742549023046,0.015606723725795746,0.0006549509339151882,0.08609854314684062,0.0,8,1280
INT4(CHANNEL),classifier,Linear,output,4,0.3262583917964352,16.796858104715533,2.7898977421945506,0.9999351501464844,-0.027519705546001205,3.9502424418197974,0.002734375,8,2560
INT8(CHANNEL),embed,Linear,input,8,1.4462402988787201e-06,48.351711536393424,8.031045449431733,0.007781863212585449,0.1365244546780963,0.31456167318907885,0.0,8,200704
INT8(CHANNEL),embed,Linear,weight,8,4.3479259714253054e-07,44.61064286580399,7.409667393345037,0.0019525755196809769,0.0013572309447949596,0.11211745057736629,0.0,8,3584
INT8(CHANNEL),embed,Linear,output,8,3.3568694497780913e-06,40.77492930660969,6.7725691615336405,0.007812410593032837,-0.006540015653496418,0.20031510137369868,1.52587890625e-05,8,917504
