distribution,format,transform,qsnr_y_db,qsnr_w_db,qsnr_x_db,crest_X,crest_W,tags
SmoothFriendly-Mild,MXINT4,had,15.512555711209053,18.22891180851671,18.528088679464812,15.967650719257279,5.002880741873587,"smooth,mild"
SmoothFriendly-Mild,MXFP4,base,13.944329238694346,18.882319731148584,15.593270081612111,15.967650719257279,5.002880741873587,"smooth,mild"
SmoothFriendly-Mild,MXFP4,smooth,14.36050528597482,16.049244454214985,17.54922972841261,15.967650719257279,5.002880741873587,"smooth,mild"
SmoothFriendly-Mild,MXFP4,had,16.085258213264332,18.895514799571433,18.929707288181525,15.967650719257279,5.002880741873587,"smooth,mild"
SmoothFriendly-Severe,INT4,base,13.622353963444237,15.065031862697342,18.614409033904927,24.71407806947578,5.002880741873587,"smooth,severe"
SmoothFriendly-Severe,INT4,smooth,16.519875813683605,2.930193446224835,19.259535643087247,24.71407806947578,5.002880741873587,"smooth,severe"
SmoothFriendly-Severe,INT4,had,13.503881774347665,15.420875013471738,19.35192900445002,24.71407806947578,5.002880741873587,"smooth,severe"
SmoothFriendly-Severe,FP4,base,14.374543168410764,18.333423870673144,16.94545693508289,24.71407806947578,5.002880741873587,"smooth,severe"
SmoothFriendly-Severe,FP4,smooth,14.634135755185973,7.5435018985084215,18.01276940175212,24.71407806947578,5.002880741873587,"smooth,severe"
SmoothFriendly-Severe,FP4,had,15.812566109297585,18.437864235867874,19.387550946511993,24.71407806947578,5.002880741873587,"smooth,severe"
SmoothFriendly-Severe,NF4,base,17.134141360611387,20.02685113491726,20.645248712391073,24.71407806947578,5.002880741873587,"smooth,severe"
SmoothFriendly-Severe,NF4,smooth,20.14183211928021,7.906793957491349,23.030203127969937,24.71407806947578,5.002880741873587,"smooth,severe"
SmoothFriendly-Severe,NF4,had,17.347520807018107,20.120303002216264,20.683687959544077,24.71407806947578,5.002880741873587,"smooth,severe"
SmoothFriendly-Severe,NVFP4,base,14.365398603291402,17.678881680679932,17.230799676415117,24.71407806947578,5.002880741873587,"smooth,severe"
SmoothFriendly-Severe,NVFP4,smooth,14.398192885293176,1.170090669212886,17.35099570938645,24.71407806947578,5.002880741873587,"smooth,severe"
